method_id,search_nfe,runs,median_best_cost,q25_best_cost,q75_best_cost
A3-only,172200,30,42460.45972620565,42443.912712433026,42502.246379277174
A3-only,172800,30,42460.45972620565,42443.55910543108,42499.54653426381
A3-only,173400,30,42460.229159232156,42441.83727252012,42499.01517001835
A3-only,174000,30,42459.71229725461,42441.83727252012,42497.55305681948
A3-only,174600,30,42459.71229725461,42441.83727252012,42497.11611165946
A3-only,175200,30,42459.265093306785,42439.94799721096,42497.11611165946
A3-only,175800,30,42456.854520053996,42439.30225426606,42493.07288542508
A3-only,176400,30,42455.23614660265,42439.21346364125,42490.98979198183
A3-only,177000,30,42454.50512603695,42439.21346364125,42489.83401095474
A3-only,177600,30,42454.50512603695,42439.13526312006,42488.620632846534
A3-only,178200,30,42454.50512603695,42438.22394540621,42488.620632846534
A3-only,178800,30,42454.50512603695,42438.22394540621,42488.221678852184
A3-only,179400,30,42453.48220598645,42436.480237989796,42485.282955351715
A3-only,180000,30,42453.48220598645,42436.21136518391,42480.057563403185
A3-only,180600,30,42453.0684466401,42435.79846282882,42480.057563403185
A3-only,181200,30,42451.86879221305,42435.79846282882,42477.7630075555
A3-only,181800,30,42451.75258292961,42435.75923972516,42476.11739322148
A3-only,182400,30,42450.71416706353,42435.75923972516,42476.11739322148
A3-only,183000,30,42450.71416706353,42435.75923972516,42475.11628202034
A3-only,183600,30,42449.226389759686,42435.75923972516,42474.01931882179
A3-only,184200,30,42449.226389759686,42435.727602810075,42474.01931882179
A3-only,184800,30,42449.138994579014,42434.4788965916,42474.01931882179
A3-only,185400,30,42449.138994579014,42434.09206527265,42471.155059740595
A3-only,186000,30,42448.42502800101,42434.09206527265,42471.15349451375
A3-only,186600,30,42448.42502800101,42432.67682314412,42470.86306750861
A3-only,187200,30,42448.42502800101,42432.67682314412,42470.86306750861
A3-only,187800,30,42447.827061740376,42430.828805957855,42468.49959950608
A3-only,188400,30,42447.71228477858,42430.806281770325,42467.59552886104
A3-only,189000,30,42446.91082077523,42430.4384303137,42467.59552886104
A3-only,189600,30,42446.061769737746,42430.39011309228,42466.63549761148
A3-only,190200,30,42444.78594802136,42430.39011309228,42466.63549761148
A3-only,190800,30,42444.78594802136,42430.39011309228,42465.29635581394
A3-only,191400,30,42444.78594802136,42430.15576779946,42461.75261312284
A3-only,192000,30,42444.78594802136,42428.157130783075,42460.815817589064
A3-only,192600,30,42444.57622597093,42428.157130783075,42460.815817589064
A3-only,193200,30,42441.71361963815,42428.157130783075,42459.85063621267
A3-only,193800,30,42441.71361963815,42427.88575814103,42459.85063621267
A3-only,194400,30,42441.71361963815,42427.88575814103,42456.81676554239
A3-only,195000,30,42441.71361963815,42427.88575814103,42456.81676554239
A3-only,195600,30,42441.71361963815,42427.21362403704,42456.771701101374
A3-only,196200,30,42441.71361963815,42427.21362403704,42456.7307559225
A3-only,196800,30,42441.71361963815,42426.84766472421,42455.87574529785
A3-only,197400,30,42441.71361963815,42426.84766472421,42455.87574529785
A3-only,198000,30,42441.69426819381,42426.84766472421,42455.01557268869
A3-only,198600,30,42441.69426819381,42426.202850376125,42455.01557268869
A3-only,199200,30,42441.40201749451,42425.26184632109,42454.47253737691
A3-only,199800,30,42441.349402256936,42424.01457996996,42454.47253737691
A3-only,200400,30,42441.349402256936,42424.01457996996,42454.47253737691
A3-only,201000,30,42441.0250383857,42423.204146729906,42454.47253737691
A3-only,201600,30,42440.748970487075,42423.204146729906,42454.47253737691
A3-only,202200,30,42438.75037996098,42423.204146729906,42454.22366592081
A3-only,202800,30,42437.08233818771,42423.204146729906,42452.974165342814
A3-only,203400,30,42436.6576059128,42423.0438646199,42450.686355247984
A3-only,204000,30,42435.81155266478,42423.0438646199,42450.381462074365
A3-only,204600,30,42434.31379197247,42421.99427977192,42450.232887316495
A3-only,205200,30,42434.31379197247,42421.690756939104,42447.1096854659
A3-only,205800,30,42434.31379197247,42421.64473081587,42447.1096854659
A3-only,206400,30,42433.65022549517,42421.2884091784,42446.76016312667
A3-only,207000,30,42433.65022549517,42421.13720994443,42446.76016312667
A3-only,207600,30,42433.14333383746,42421.117857608704,42446.76016312667
A3-only,208200,30,42433.14333383746,42420.26012538487,42446.367199478715
A3-only,208800,30,42431.07864975679,42420.26012538487,42445.43889077634
A3-only,209400,30,42431.07864975679,42419.6584384714,42445.43889077634
A3-only,210000,30,42430.08113475256,42418.53862934956,42445.43889077634
A3-only,210600,30,42430.08113475256,42418.53862934956,42445.43889077634
A3-only,211200,30,42430.08113475256,42418.53862934956,42445.43889077634
A3-only,211800,30,42430.08113475256,42418.53862934956,42444.99638086722
A3-only,212400,30,42430.057588984666,42417.42210189429,42444.69875166332
A3-only,213000,30,42428.736825502696,42416.494502217014,42443.40830485325
A3-only,213600,30,42428.736825502696,42416.494502217014,42443.40830485325
A3-only,214200,30,42427.826391552066,42416.494502217014,42443.04972327351
A3-only,214800,30,42427.37672907843,42416.1637956587,42443.04972327351
A3-only,215400,30,42427.253805280576,42415.296377723615,42442.80562249924
A3-only,216000,30,42427.253805280576,42415.17788174778,42441.63762156683
A3-only,216600,30,42427.253805280576,42414.30004494898,42441.63762156683
A3-only,217200,30,42427.04561849128,42413.20593592984,42441.33634183631
A3-only,217800,30,42426.628077257585,42413.1112279287,42440.06165238451
A3-only,218400,30,42425.966706225816,42413.1112279287,42439.459533731126
A3-only,219000,30,42425.966706225816,42412.926798074885,42438.77317545109
A3-only,219600,30,42425.966706225816,42412.926798074885,42438.63687980827
A3-only,220200,30,42425.68355730614,42410.43042304006,42438.17667701126
A3-only,220800,30,42424.250656001605,42410.00834320391,42438.17667701126
A3-only,221400,30,42422.6425475837,42410.00834320391,42437.3580663045
A3-only,222000,30,42422.6425475837,42410.00834320391,42437.3580663045
A3-only,222600,30,42422.6425475837,42410.00834320391,42437.3580663045
A3-only,223200,30,42422.6425475837,42409.06973783081,42437.3580663045
A3-only,223800,30,42422.6425475837,42409.06973783081,42435.843416865755
A3-only,224400,30,42421.28769354902,42409.06973783081,42435.493494411625
A3-only,225000,30,42420.596210167816,42408.89678366167,42433.63042987547
A3-only,225600,30,42420.28514625937,42407.647621702396,42433.59371876735
A3-only,226200,30,42420.28514625937,42407.647621702396,42433.59371876735
A3-only,226800,30,42418.84894362833,42407.384281060156,42433.58681945664
A3-only,227400,30,42418.84894362833,42407.25871944521,42432.10974555198
A3-only,228000,30,42418.65526119982,42406.98812270946,42432.10974555198
A3-only,228600,30,42418.511079056494,42406.98812270946,42432.10974555198
A3-only,229200,30,42418.33590993263,42406.359138825675,42430.89906611667
A3-only,229800,30,42418.33590993263,42406.03123502279,42430.26255500717
A3-only,230400,30,42418.33590993263,42405.91940914474,42430.26255500717
A3-only,231000,30,42418.285574062174,42405.91940914474,42429.77717849401
A3-only,231600,30,42417.96989106551,42405.56403640732,42429.38448707863
