seed,checkpoint,action,repeat,checkpoint_nfe,start_iteration,end_iteration,start_nfe,end_nfe,before_cost,after_cost,before_cv,after_cv,feasible_after,cost_reward,gap_reward
310029,60pct,A2,2,180600,300,320,180600,192600,42411.82071794293,42399.15312277642,0.0,0.0,True,12.667595166509273,0.0002990694374277853
310029,60pct,A2,3,180600,300,320,180600,192600,42411.82071794293,42403.047603088155,0.0,0.0,True,8.773114854775486,0.00020712459544364073
310029,60pct,A3,1,180600,300,320,180600,192600,42411.82071794293,42405.53272813978,0.0,0.0,True,6.287989803153323,0.00014845324217121515
310029,60pct,A3,2,180600,300,320,180600,192600,42411.82071794293,42398.58236222439,0.0,0.0,True,13.238355718538514,0.00031254453155241026
310029,60pct,A3,3,180600,300,320,180600,192600,42411.82071794293,42402.08657285187,0.0,0.0,True,9.734145091060782,0.00022981357218618812
310029,60pct,A4,1,180600,300,320,180600,192600,42411.82071794293,42402.43957626521,0.0,0.0,True,9.381141677717096,0.00022147950949701263
310029,60pct,A4,2,180600,300,320,180600,192600,42411.82071794293,42405.09745254565,0.0,0.0,True,6.7232653972823755,0.00015872966996600176
310029,60pct,A4,3,180600,300,320,180600,192600,42411.82071794293,42403.84662800058,0.0,0.0,True,7.974089942348655,0.00018826040473425868
310029,80pct,A1,1,240600,400,420,240600,252600,42381.045819812905,42376.93733104762,0.0,0.0,True,4.108488765283255,9.699737065801977e-05
310029,80pct,A1,2,240600,400,420,240600,252600,42381.045819812905,42376.93733104762,0.0,0.0,True,4.108488765283255,9.699737065801977e-05
310029,80pct,A1,3,240600,400,420,240600,252600,42381.045819812905,42376.93733104762,0.0,0.0,True,4.108488765283255,9.699737065801977e-05
310029,80pct,A2,1,240600,400,420,240600,252600,42381.045819812905,42375.75262495962,0.0,0.0,True,5.293194853285968,0.00012496711381755572
310029,80pct,A2,2,240600,400,420,240600,252600,42381.045819812905,42377.857326031706,0.0,0.0,True,3.188493781199213,7.527719577795863e-05
310029,80pct,A2,3,240600,400,420,240600,252600,42381.045819812905,42375.71392120682,0.0,0.0,True,5.331898606083996,0.00012588087127692364
310029,80pct,A3,1,240600,400,420,240600,252600,42381.045819812905,42380.17281177667,0.0,0.0,True,0.8730080362365698,2.061085934901676e-05
310029,80pct,A3,2,240600,400,420,240600,252600,42381.045819812905,42380.451628004215,0.0,0.0,True,0.5941918086900841,1.4028283001888114e-05
310029,80pct,A3,3,240600,400,420,240600,252600,42381.045819812905,42379.03120730434,0.0,0.0,True,2.0146125085666426,4.7563015840995974e-05
310029,80pct,A4,1,240600,400,420,240600,252600,42381.045819812905,42376.03485043956,0.0,0.0,True,5.010969373346597,0.00011830404838139423
310029,80pct,A4,2,240600,400,420,240600,252600,42381.045819812905,42378.169957936494,0.0,0.0,True,2.8758618764113635,6.789626461794866e-05
310029,80pct,A4,3,240600,400,420,240600,252600,42381.045819812905,42375.78752185393,0.0,0.0,True,5.258297958978801,0.0001241432325353362
310029,90pct,A1,1,270600,450,470,270600,282600,42373.917192387315,42371.19762388352,0.0,0.0,True,2.719568503795017,6.4206332124239e-05
310029,90pct,A1,2,270600,450,470,270600,282600,42373.917192387315,42371.19762388352,0.0,0.0,True,2.719568503795017,6.4206332124239e-05
310029,90pct,A1,3,270600,450,470,270600,282600,42373.917192387315,42371.19762388352,0.0,0.0,True,2.719568503795017,6.4206332124239e-05
310029,90pct,A2,1,270600,450,470,270600,282600,42373.917192387315,42370.19354818777,0.0,0.0,True,3.7236441995410132,8.791156974152352e-05
310029,90pct,A2,2,270600,450,470,270600,282600,42373.917192387315,42371.24645237023,0.0,0.0,True,2.670740017085336,6.305353967557266e-05
310029,90pct,A2,3,270600,450,470,270600,282600,42373.917192387315,42370.76316908519,0.0,0.0,True,3.1540233021223685,7.446338173907664e-05
310029,90pct,A3,1,270600,450,470,270600,282600,42373.917192387315,42373.66397758168,0.0,0.0,True,0.25321480563434307,5.978152007072473e-06
310029,90pct,A3,2,270600,450,470,270600,282600,42373.917192387315,42373.22521241801,0.0,0.0,True,0.6919799693059758,1.6336965099640274e-05
310029,90pct,A3,3,270600,450,470,270600,282600,42373.917192387315,42373.89633871181,0.0,0.0,True,0.020853675501712132,4.923347264117845e-07
310029,90pct,A4,1,270600,450,470,270600,282600,42373.917192387315,42371.63709078196,0.0,0.0,True,2.2801016053563217,5.383095176541029e-05
310029,90pct,A4,2,270600,450,470,270600,282600,42373.917192387315,42371.792692241084,0.0,0.0,True,2.1245001462302753,5.0157354667296455e-05
310029,90pct,A4,3,270600,450,470,270600,282600,42373.917192387315,42371.45591904527,0.0,0.0,True,2.461273342043569,5.810823791614861e-05
310026,20pct,A1,1,60600,100,120,60600,72600,42588.92799153017,42556.00368359088,0.0,0.0,True,32.92430793928361,0.0007773104621414968
310026,20pct,A1,2,60600,100,120,60600,72600,42588.92799153017,42556.00368359088,0.0,0.0,True,32.92430793928361,0.0007773104621414968
310026,20pct,A1,3,60600,100,120,60600,72600,42588.92799153017,42556.00368359088,0.0,0.0,True,32.92430793928361,0.0007773104621414968
310026,20pct,A2,1,60600,100,120,60600,72600,42588.92799153017,42554.223764245675,0.0,0.0,True,34.704227284491935,0.0008193326036956914
